owner,repository,stars,releases,created_at,url
pagehelper-org,Mybatis-PageHelper,12374,15,2014-06-09T15:32:30Z,https://github.com/pagehelper-org/Mybatis-PageHelper
amitshekhariitbhu,android-interview-questions,12305,0,2017-07-09T18:47:24Z,https://github.com/amitshekhariitbhu/android-interview-questions
redis,jedis,12302,121,2010-06-11T13:04:43Z,https://github.com/redis/jedis
beemdevelopment,Aegis,12254,73,2016-08-15T19:10:31Z,https://github.com/beemdevelopment/Aegis
Team-xManager,xManager,12191,51,2021-02-08T11:31:10Z,https://github.com/Team-xManager/xManager
PaperMC,Paper,12145,0,2016-01-22T05:40:19Z,https://github.com/PaperMC/Paper
Yalantis,uCrop,12099,20,2016-01-05T13:41:06Z,https://github.com/Yalantis/uCrop
provectus,kafka-ui,12010,25,2019-11-26T15:55:55Z,https://github.com/provectus/kafka-ui
grpc,grpc-java,11997,189,2014-12-08T19:00:00Z,https://github.com/grpc/grpc-java
Tencent,matrix,11998,16,2018-12-11T07:08:02Z,https://github.com/Tencent/matrix
Tencent,VasSonic,11874,10,2017-08-01T08:35:13Z,https://github.com/Tencent/VasSonic
OpenRefine,OpenRefine,11799,76,2012-10-15T02:22:48Z,https://github.com/OpenRefine/OpenRefine
datahub-project,datahub,11776,135,2015-11-18T05:47:40Z,https://github.com/datahub-project/datahub
code4craft,webmagic,11696,33,2013-04-23T12:57:36Z,https://github.com/code4craft/webmagic
frank-lam,fullstack-tutorial,11696,0,2018-04-13T01:50:10Z,https://github.com/frank-lam/fullstack-tutorial
jd-opensource,joyagent-jdgenie,11621,1,2025-07-16T02:59:53Z,https://github.com/jd-opensource/joyagent-jdgenie
newbee-ltd,newbee-mall,11555,0,2019-09-21T03:56:04Z,https://github.com/newbee-ltd/newbee-mall
StarRocks,starrocks,11550,180,2021-09-04T02:29:35Z,https://github.com/StarRocks/starrocks
langchain4j,langchain4j,11534,62,2023-06-20T15:30:29Z,https://github.com/langchain4j/langchain4j
realm,realm-java,11485,0,2012-04-20T09:18:42Z,https://github.com/realm/realm-java
careercup,CtCI-6th-Edition,11469,0,2015-07-02T06:28:46Z,https://github.com/careercup/CtCI-6th-Edition
gyf-dev,ImmersionBar,11463,0,2017-04-19T05:10:09Z,https://github.com/gyf-dev/ImmersionBar
jhy,jsoup,11358,21,2009-12-19T01:29:58Z,https://github.com/jhy/jsoup
mission-peace,interview,11328,0,2014-07-20T21:27:31Z,https://github.com/mission-peace/interview
apereo,cas,11325,316,2011-09-09T01:36:42Z,https://github.com/apereo/cas
ssssssss-team,spider-flow,11322,2,2020-03-27T11:07:15Z,https://github.com/ssssssss-team/spider-flow
permissions-dispatcher,PermissionsDispatcher,11192,40,2015-08-15T21:41:05Z,https://github.com/permissions-dispatcher/PermissionsDispatcher
apple,pkl,11177,21,2024-01-19T17:28:45Z,https://github.com/apple/pkl
daniulive,SmarterStreaming,11170,0,2016-03-26T14:46:02Z,https://github.com/daniulive/SmarterStreaming
lingochamp,FileDownloader,11125,65,2015-12-22T11:17:16Z,https://github.com/lingochamp/FileDownloader
H07000223,FlycoTabLayout,11113,4,2015-11-09T01:53:19Z,https://github.com/H07000223/FlycoTabLayout
jwtk,jjwt,11055,9,2014-09-13T01:06:24Z,https://github.com/jwtk/jjwt
jfeinstein10,SlidingMenu,11022,0,2012-06-30T05:14:23Z,https://github.com/jfeinstein10/SlidingMenu
androidannotations,androidannotations,11001,0,2012-01-06T08:48:03Z,https://github.com/androidannotations/androidannotations
asLody,VirtualApp,10960,0,2016-07-06T13:25:23Z,https://github.com/asLody/VirtualApp
